config_id,cat_depth,cat_l2_leaf_reg,cat_learning_rate,cat_iterations,cat_early_stopping,lgb_num_leaves,lgb_min_child_samples,lgb_learning_rate,lgb_iterations,lgb_early_stopping,xgb_max_depth,xgb_learning_rate,xgb_iterations,xgb_early_stopping,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,weight_strategy,ensemble_models
hp_cat_d5_l22.0_lr0.03,5,2.0,0.03,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d5_l22.0_lr0.05,5,2.0,0.05,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d5_l22.0_lr0.1,5,2.0,0.1,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d5_l23.0_lr0.03,5,3.0,0.03,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d5_l23.0_lr0.05,5,3.0,0.05,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d5_l23.0_lr0.1,5,3.0,0.1,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d5_l25.0_lr0.03,5,5.0,0.03,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d5_l25.0_lr0.05,5,5.0,0.05,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d5_l25.0_lr0.1,5,5.0,0.1,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d6_l22.0_lr0.03,6,2.0,0.03,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d6_l22.0_lr0.05,6,2.0,0.05,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d6_l22.0_lr0.1,6,2.0,0.1,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d6_l23.0_lr0.03,6,3.0,0.03,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d6_l23.0_lr0.05,6,3.0,0.05,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d6_l23.0_lr0.1,6,3.0,0.1,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d6_l25.0_lr0.03,6,5.0,0.03,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d6_l25.0_lr0.05,6,5.0,0.05,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d6_l25.0_lr0.1,6,5.0,0.1,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d7_l22.0_lr0.03,7,2.0,0.03,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d7_l22.0_lr0.05,7,2.0,0.05,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d7_l22.0_lr0.1,7,2.0,0.1,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d7_l23.0_lr0.03,7,3.0,0.03,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d7_l23.0_lr0.05,7,3.0,0.05,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d7_l23.0_lr0.1,7,3.0,0.1,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d7_l25.0_lr0.03,7,5.0,0.03,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d7_l25.0_lr0.05,7,5.0,0.05,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
hp_cat_d7_l25.0_lr0.1,7,5.0,0.1,1000,50,63,50,0.05,1000,50,6,0.05,1000,50,200,12,50,optimize,cat
