feature,temporal_auc,rank
admin_x_merchant_risk,0.5823198340268843,1
ADMINID_excess_rate,0.577112893791445,2
ADMINID_fpd_rate,0.5759111309169008,3
MERCHANTID_excess_rate,0.5728844442045318,4
CITY_fpd_rate,0.5718164951169041,5
MERCHANTID_fpd_rate,0.5710364831604363,6
ADMINID_pmt_first_no_pay_rate,0.570315936683572,7
ADMINID_pmt_zero_recovery_rate,0.5681018508736415,8
PURCHASE_AMOUNT_z,0.5656556478522042,9
financial_x_entity_risk,0.5651187581025287,10
CLERK_ID_pmt_first_no_pay_rate,0.5644387419302535,11
MERCHANTID_pmt_zero_recovery_rate,0.5638379847028604,12
size_anomaly_x_entity_risk,0.5635046761870748,13
MERCHANTID_recent_fpd_rate,0.5624435418744622,14
MERCHANTID_pmt_first_no_pay_rate,0.5620699142108823,15
STATE_fpd_rate,0.5610217598306321,16
DOWN_PAYMENT_AMOUNT_z,0.5607592857246813,17
ADMINID_pmt_pct_overdue,0.560112801251359,18
MERCHANTID_weighted_risk,0.5579324893496457,19
CLERK_ID_fpd_rate,0.5561892446861967,20
ADMINID_pmt_fpd_proxy_rate,0.5560017449053496,21
ADMINID_pmt_avg_recovery,0.5558843765064213,22
CLERK_ID_pmt_zero_recovery_rate,0.5547492957054543,23
merchant_hist_median_finance,0.5533739060514558,24
down_pct,0.5532331638374847,25
CLERK_ID_excess_rate,0.5532270465009406,26
ADMINID_pmt_pct_severe,0.5531973715187327,27
excess_x_trend,0.5529656958733458,28
merchant_x_kyc_risk,0.5527707453629027,29
ADMINID_pmt_avg_monthly_records,0.5515666703214597,30
finance_pct,0.5513738462841462,31
CLERK_ID_recent_fpd_rate,0.5509554651800888,32
ADMINID_pmt_pct_chargeoff,0.5499784259239999,33
ADMINID_pmt_avg_max_overdue,0.5493033601364548,34
ADMINID_pmt_std_recovery,0.5491721212203311,35
PURCHASE_AMOUNT,0.549166867763496,36
log_purchase,0.5490466195585215,37
ADMINID_pmt_pct_quick_chargeoff,0.548571085762809,38
CLERK_ID_pmt_avg_recovery,0.5483081005332056,39
ADMINID_pmt_pct_very_severe,0.5482437182055392,40
MERCHANTID_pmt_pct_overdue,0.546926881088533,41
FINANCE_AMOUNT,0.5462846060880122,42
log_finance,0.5462530114421233,43
CLERK_ID_weighted_risk,0.5460624703823872,44
MERCHANTID_pmt_avg_recovery,0.5456371434618924,45
TOTAL_DUE,0.5452129859774089,46
CLERK_ID_pmt_pct_overdue,0.5446674903462623,47
device_lock_risk,0.5441203216080446,48
TOTAL_DUE_z,0.5434807531407887,49
DOWN_PAYMENT_AMOUNT,0.5433260857572753,50
MODEL_fpd_rate,0.5413965256541762,51
t_hour,0.5401000875256092,52
ADMINID_weighted_risk,0.5399432464692121,53
FINANCE_AMOUNT_z,0.5399330892063514,54
MERCHANTID_pmt_avg_monthly_records,0.5396053533667903,55
MERCHANTID_pmt_std_recovery,0.5388032711779605,56
clerk_x_kyc_risk,0.5380751242985959,57
t_dow,0.5334122040809401,58
CLERK_ID_pmt_std_recovery,0.5315820826807258,59
MERCHANTID_pmt_pct_chargeoff,0.5313763886367928,60
MERCHANTID_pmt_pct_very_severe,0.5307295706599453,61
ADMINID_trend,0.5303182235613393,62
MERCHANTID_pmt_pct_severe,0.5298409458589247,63
MERCHANTID_pmt_pct_quick_chargeoff,0.5283811754656805,64
MERCHANTID_pmt_fpd_proxy_rate,0.5266227082605026,65
is_late_night,0.5255208088866297,66
CLERK_ID_trend,0.5246716853113499,67
merchant_age_days,0.5243099128596774,68
log_merchant_age,0.5243075938612352,69
is_weekend,0.5241453881801613,70
CLERK_ID_pmt_pct_quick_chargeoff,0.5235210049916708,71
CLERK_ID_pmt_avg_monthly_records,0.5234474267856077,72
total_due_pct,0.5232734404185537,73
MANUFACTURER_fpd_rate,0.5231464364382569,74
CLERK_ID_n,0.5218017943187722,75
days_to_fpd,0.5209214754323647,76
ADMINID_n,0.520478530582623,77
MERCHANTID_trend,0.5191352094352021,78
clerk_excess_risk,0.5187279426311235,79
CLERK_ID_pmt_fpd_proxy_rate,0.5185053895803049,80
order_vs_merchant_median,0.5175821729490133,81
clerk_excess_x_merch_volume,0.5175741974326785,82
LIVENESS_SCORE_deficit,0.5147463651472516,83
OVERALL_SCORE,0.5141937100586753,84
LIVENESS_SCORE,0.5131356573931626,85
clerk_order_share,0.5128901894828041,86
kyc_mean_deficit,0.5122310498859528,87
MERCHANTID_pmt_avg_max_overdue,0.511074906194743,88
MERCHANTID_n,0.5107282370433157,89
CLERK_ID_pmt_pct_very_severe,0.5106516411582408,90
CLERK_ID_pmt_pct_severe,0.5103272925220819,91
LOCK_PRODUCT_fpd_rate,0.5103235656046604,92
LOCK_PRODUCT_n,0.5099980655429224,93
CLERK_ID_pmt_pct_chargeoff,0.5098439757353469,94
merchant_is_new,0.5087874676196801,95
MANUFACTURER_n,0.5078313316441393,96
kyc_min,0.5076722678519565,97
kyc_min_deficit,0.5066526252283969,98
IDVALIDATION_OVERALL_SCORE_deficit,0.5065156912893181,99
IDVALIDATION_OVERALL_SCORE,0.5064728432283856,100
STATE_n,0.5058101096186837,101
any_kyc_below_70,0.5049886457203242,102
MODEL_n,0.5048262680085678,103
FACE_RECOGNITION_SCORE_deficit,0.5042167179638354,104
state_mismatch,0.5031416063135314,105
FACE_RECOGNITION_SCORE,0.5028392241944857,106
OVERALL_SCORE_missing,0.5026633796476406,107
CITY_n,0.5001314413782266,108
FACE_RECOGNITION_SCORE_missing,0.5001230907480569,109
log_days_since_last_sale,0.5,110
merchant_dormant_flag,0.5,111
days_since_last_sale,0.5,112
IDVALIDATION_OVERALL_SCORE_missing,0.5,113
MERCHANTID_is_new,0.5,114
CLERK_ID_is_new,0.5,115
t_month,0.5,116
LIVENESS_SCORE_missing,0.499917173747391,117
CLERK_ID_pmt_avg_max_overdue,0.49330036133237604,118
